date,nav,weekly_return_pct,num_holdings,in_cash,qualifying_count
2026-02-25,100000.0,0.0,0,True,8
2026-02-25,100000.0,0.0,0,True,8
2026-02-28,100000.0,0.0,0,True,7
2026-03-07,100000.0,0.0,0,True,6
2026-03-14,100000.0,0.0,0,True,4
2026-03-21,100000.0,0.0,0,True,4
2026-03-28,100000.0,0.0,0,True,3
2026-04-04,100000.0,0.0,0,True,4
2026-04-11,100000.0,0.0,0,True,4
2026-04-18,100000.0,0.0,0,True,8
2026-04-25,100000.0,0.0,11,False,11
2026-05-02,105403.52,5.4035,14,False,14
2026-05-09,106844.65,1.3672,17,False,17
